data_id,name,main_category,sub_cat,main_cat,lat,lng,neighborhood
311044,snb alahli,bank,Bank,"Stores, offices and commercial services",24.8956184,46.6351196,nr
310665,abdullah alaqel and his parents mosque,mosque,Mosque,General facility,24.8796722,46.6379123,nr
310652,alfaris house,homestay,Commercial_service,"Stores, offices and commercial services",24.8806435,46.6359844,nr
310252,japanese,homestay,Commercial_service,"Stores, offices and commercial services",24.8743074,46.6631839,nr
310251,chalets jewel riyadh,hotel,Hotel,Hopspitality,24.872811,46.6583542,nr
310249,daffodils as 7 resort,resort hotel,Resort,Hopspitality,24.8756973,46.6571519,nr
310245,osman mosque,mosque,Mosque,General facility,24.8711873,46.6577815,nr
310243,awad sultan rwaili restaurant,restaurant,Resturant,"Stores, offices and commercial services",24.8694232,46.6612112,nr
310241,mood,bakery,Commercial_service,"Stores, offices and commercial services",24.8743236,46.6568262,nr
310237,abu obaida mosque,mosque,Mosque,General facility,24.8698267,46.6474825,nr
310236,ishaatvoice,mosque,Mosque,General facility,24.8763692,46.6482238,nr
310230,unique night chalets,resort hotel,Resort,Hopspitality,24.868742,46.6501975,nr
310218,zain ksa  shop,telecommunications service provider,company,"Stores, offices and commercial services",24.8751591,46.638488,nr
310207,sketchers,shoe store,Store,"Stores, offices and commercial services",24.8753506,46.6380894,nr
310203,masharef hills center,shopping mall,Commercial_service,"Stores, offices and commercial services",24.8751816,46.6381829,nr
310198,masharef hills mosque,mosque,Mosque,General facility,24.8718513,46.6393179,nr
310196,mama sarah resort,resort hotel,Resort,Hopspitality,24.870024,46.6453447,nr
310186,gymtech,gym,Commercial_service,"Stores, offices and commercial services",24.8761082,46.6385617,nr
310177,usmania restaurant,restaurant,Resturant,"Stores, offices and commercial services",24.8684366,46.6411518,nr
309558,creative world,school,School,Education,24.863891,46.6564944,nr
309538,yasmeen site,school,School,Education,24.8581601,46.654959,nr
309533,honorable mosque share pilot daffodils resort,mosque,Mosque,General facility,24.8607118,46.6492156,nr
309529,ghaith mosque,mosque,Mosque,General facility,24.8640203,46.6472304,nr
309526,hamburgini,hamburger restaurant,Resturant,"Stores, offices and commercial services",24.8591042,46.646594,nr
309523,shahen resort,resort hotel,Resort,Hopspitality,24.8584853,46.656011,nr
309517,ibrahim omar laundries,laundromat,Commercial_service,"Stores, offices and commercial services",24.8598884,46.6468458,nr
309512,electronics shop,electronics store,Store,"Stores, offices and commercial services",24.8621868,46.6536107,nr
309508,canton,chinese restaurant,Resturant,"Stores, offices and commercial services",24.8582736,46.6466156,nr
309500,luxus catering,restaurant,Resturant,"Stores, offices and commercial services",24.8634705,46.653551,nr
309498,subway,sandwich shop,Commercial_service,"Stores, offices and commercial services",24.8585685,46.6467609,nr
309491,pastalita  an narjis,restaurant,Resturant,"Stores, offices and commercial services",24.8589535,46.6465568,nr
309490,dunkin donuts,coffee shop,Commercial_service,"Stores, offices and commercial services",24.8587351,46.6467127,nr
309486,mysoul cafe,coffee shop,Commercial_service,"Stores, offices and commercial services",24.8633202,46.6546616,nr
309484,whites al narjis  yasmeen centro,cosmetics store,Store,"Stores, offices and commercial services",24.8585095,46.6467545,nr
309483,tamimi markets,supermarket,Markets,"Stores, offices and commercial services",24.8586189,46.6470045,nr
309443,petromin express,oil change service,Commercial_service,"Stores, offices and commercial services",24.863781,46.643598,nr
309439,alwalidain mosque,mosque,Mosque,General facility,24.8650619,46.6427833,nr
309411,b1 grilled burger,hamburger restaurant,Resturant,"Stores, offices and commercial services",24.861834,46.6441281,nr
309408,burger county,restaurant,Resturant,"Stores, offices and commercial services",24.8622337,46.6442018,nr
309404,starbucks,coffee shop,Commercial_service,"Stores, offices and commercial services",24.8580611,46.6461134,nr
309401,nutrition  diet center co centro shop,health food store,Store,"Stores, offices and commercial services",24.8581132,46.6462061,nr
309396,pizza street truck,bakery,Commercial_service,"Stores, offices and commercial services",24.8667636,46.6415056,nr
308613,moustaches lounge,resort hotel,Resort,Hopspitality,24.8570031,46.6720509,nr
308611,blue line 2,racing car parts store,Store,"Stores, offices and commercial services",24.8535481,46.6759753,nr
308610,burgerizzr,hamburger restaurant,Resturant,"Stores, offices and commercial services",24.8530623,46.6758261,nr
308609,starbucks,coffee shop,Commercial_service,"Stores, offices and commercial services",24.8511247,46.6738798,nr
308608,krnsh al narjis,restaurant,Resturant,"Stores, offices and commercial services",24.8511696,46.6744816,nr
308606,raising canes,chicken restaurant,Resturant,"Stores, offices and commercial services",24.8514823,46.6745948,nr
308603,moon cafe,cafe,Cafes,"Stores, offices and commercial services",24.8493694,46.6695224,nr
308601,lemona restaurant,restaurant,Resturant,"Stores, offices and commercial services",24.8484375,46.6673125,nr
308635,jenakum,restaurant,Resturant,"Stores, offices and commercial services",24.8498305,46.6817567,nr
308634,bukhari restaurant,restaurant,Resturant,"Stores, offices and commercial services",24.8520906,46.6803235,nr
308629,herfy restaurant,fast food restaurant,Resturant,"Stores, offices and commercial services",24.8533765,46.6764755,nr
308628,grin,coffee shop,Commercial_service,"Stores, offices and commercial services",24.8490297,46.6820683,nr
308626,almakan 103 hotel,hotel,Hotel,Hopspitality,24.8496736,46.6818343,nr
308624,alrajhi international center,auto parts store,delete,delete,24.8536542,46.6763556,nr
308623,at mb,medical supply store,Other health services,Health,24.8534654,46.6755861,nr
308622,al  sayari markets,supermarket,Markets,"Stores, offices and commercial services",24.8538742,46.6755027,nr
308592,aziz khan,parking lot,delete,delete,24.8538438,46.6577219,nr
308585,najid chalets,resort hotel,Resort,Hopspitality,24.8561748,46.659011,nr
308578,cy marriott accommodation riyadh,hospital,Hospital,Health,24.8486299,46.6583202,nr
308572,mamola,confectionery,Markets,"Stores, offices and commercial services",24.852235,46.6489817,nr
308571,madar building materials,building materials supplier,Commercial_service,"Stores, offices and commercial services",24.8539258,46.6482937,nr
308569,cato,chocolate shop,Commercial_service,"Stores, offices and commercial services",24.8523409,46.6489861,nr
308563,zineh cars,car accessories store,Store,"Stores, offices and commercial services",24.8512379,46.6499152,nr
308562,t1,racing car parts store,Store,"Stores, offices and commercial services",24.8515323,46.6497584,nr
308561,top100,candy store,Store,"Stores, offices and commercial services",24.8524518,46.6489806,nr
